size,depth_percent,table_percent,meas_length,meas_width,meas_depth,total_sales_price
0.45,62.6,57.0,4.9,4.92,3.07,2506
0.25,60.6,59.0,4.06,4.09,2.47,796
1.01,61.3,61.0,6.41,6.45,3.94,14034
1.05,59.2,59.0,6.62,6.69,3.94,9232
0.36,62.2,58.0,4.51,4.54,2.82,1734
0.47,62.3,57.0,4.93,4.97,3.08,3478
0.56,61.4,57.0,5.27,5.31,3.25,1958
1.5,66.9,65.0,7.8,5.48,3.66,12955
0.58,72.6,76.0,4.68,4.6,3.34,2962
0.34,60.4,60.0,4.5,4.52,2.72,972
1.5,60.9,61.0,7.3,7.36,4.46,7824
1.02,58.5,60.0,6.08,7.05,4.12,4616
0.5,61.9,60.0,5.04,5.1,3.14,2102
0.52,70.7,63.0,5.3,3.63,2.57,1068
0.3,60.0,60.0,4.3,4.31,2.58,832
1.01,67.2,63.0,7.33,4.9,3.29,5228
0.3,64.2,55.0,4.21,4.22,2.7,820
0.21,60.5,58.0,3.83,3.85,2.32,712
0.32,62.9,57.0,4.34,4.36,2.73,1106
10.53,60.6,60.0,14.19,14.28,8.62,566093
1.0,61.0,60.0,6.43,6.48,3.94,11977
0.8,67.8,63.0,5.3,5.23,3.55,3482
0.41,62.1,58.0,4.76,4.79,2.96,1340
0.3,62.6,57.0,4.28,4.3,2.69,688
0.31,60.9,59.0,4.34,4.37,2.65,642
0.41,62.5,58.0,4.74,4.79,2.98,2274
0.33,62.4,59.0,4.39,4.42,2.75,1332
0.43,60.8,54.0,4.31,5.23,3.18,1476
11.12,55.2,65.0,13.36,15.44,8.52,226982
0.3,64.2,58.0,4.17,4.2,2.69,810
0.33,59.8,61.0,4.47,4.48,2.68,832
1.51,64.0,57.0,7.2,7.24,4.63,18483
0.32,62.1,59.0,4.37,4.4,2.72,1208
0.23,62.1,56.0,3.9,3.92,2.43,914
0.6,62.8,56.0,5.35,5.39,3.37,2456
1.15,62.1,59.0,6.68,6.71,4.16,15809
0.5,62.7,58.0,5.08,5.1,3.19,1660
0.51,62.0,59.0,5.07,5.12,3.16,1090
0.3,61.8,57.0,4.29,4.3,2.66,672
1.02,60.2,58.0,6.5,6.53,3.92,15399
0.46,59.6,59.0,5.01,5.03,2.99,2070
1.01,58.7,58.0,7.94,5.74,3.37,6957
0.54,62.6,57.0,5.19,5.23,3.26,2304
0.5,62.2,59.0,5.06,5.1,3.16,2556
0.31,62.0,58.5,4.26,4.3,2.66,1130
0.39,62.1,59.0,5.45,3.93,2.44,3510
0.5,64.0,58.0,4.96,5.01,3.19,2818
0.4,63.4,56.0,4.62,4.68,2.95,560
0.35,61.6,59.0,4.54,4.56,2.8,1270
0.8,62.4,58.0,5.89,5.92,3.68,5935
0.52,57.8,56.5,6.26,4.6,2.66,1770
0.46,60.3,62.0,4.98,5.01,3.01,1510
0.72,59.5,61.0,5.85,5.88,3.49,4314
0.55,63.0,58.0,5.18,5.22,3.28,1316
1.51,64.8,61.0,7.89,5.4,3.5,17396
0.4,64.6,57.0,4.55,4.59,2.95,678
1.31,64.4,76.0,6.58,6.37,4.11,6918
0.3,61.7,59.0,4.24,4.29,2.63,730
0.54,62.0,55.0,5.26,5.29,3.27,3840
0.37,62.6,57.0,4.58,4.61,2.88,694
0.26,62.3,59.0,4.06,4.09,2.54,1014
0.36,61.3,56.0,4.58,4.6,2.81,958
0.27,62.6,57.0,4.13,4.15,2.59,1098
1.5,60.3,59.0,9.35,6.46,3.9,16092
0.3,60.1,60.0,4.32,4.34,2.6,978
0.7,60.8,59.0,5.7,5.74,3.48,4621
0.5,62.5,58.0,5.05,5.08,3.17,1186
0.28,0.0,0.0,5.72,3.76,2.28,942
0.5,60.8,62.0,6.32,4.57,2.78,1398
0.56,61.0,59.0,5.32,5.35,3.25,3742
0.3,64.5,56.0,4.22,4.23,2.73,970
0.32,61.5,60.0,4.39,4.41,2.7,672
0.58,60.8,61.0,5.37,5.4,3.27,2872
0.53,59.9,61.0,6.53,4.54,2.72,1724
1.53,70.4,59.0,7.39,5.56,3.92,11016
0.3,64.1,57.0,4.16,4.21,2.69,846
1.01,62.4,57.0,6.4,6.44,4.0,7575
0.71,62.7,58.0,5.66,5.7,3.56,4936
0.31,62.7,56.0,4.31,4.33,2.71,998
0.9,62.8,58.0,6.08,6.15,3.84,8864
0.41,62.1,60.0,4.73,4.75,2.94,1250
0.4,60.5,58.0,4.75,4.78,2.88,1080
0.7,57.3,64.0,5.85,5.88,3.36,3215
0.3,59.7,61.0,4.36,4.38,2.61,714
0.34,63.7,71.0,4.8,3.49,2.23,860
2.0,68.5,58.0,8.26,5.97,4.09,26136
0.35,63.1,58.0,4.42,4.46,2.8,1156
0.33,59.6,58.0,4.53,4.55,2.7,1078
1.5,77.6,70.0,6.08,5.91,4.58,12870
0.6,63.1,57.0,5.36,5.41,3.4,4714
2.58,0.6,0.57,7.49,7.45,5.17,7895
0.51,62.7,65.0,4.44,4.42,2.77,1408
0.3,63.6,56.0,4.25,4.26,2.71,564
1.02,62.9,58.0,6.39,6.45,4.04,8919
0.31,64.5,60.0,4.19,4.25,2.72,716
2.0,69.1,58.0,8.08,5.97,4.13,23424
0.29,60.1,59.0,4.29,4.31,2.59,1190
0.7,62.7,58.0,5.63,5.66,3.54,4122
0.4,64.3,58.0,4.61,4.64,2.97,1044
0.27,0.5,0.61,5.02,3.42,2.01,2139
0.9,62.0,60.0,6.15,6.19,3.83,7266
0.5,60.5,60.0,5.15,5.17,3.12,4400
1.01,62.7,55.0,6.39,6.43,4.02,6902
0.7,61.9,54.0,5.71,5.72,3.54,2262
1.7,65.7,56.0,10.63,6.3,4.14,18024
1.08,71.9,62.0,5.85,5.52,3.97,7971
1.41,62.7,57.0,7.11,7.15,4.47,12011
0.71,67.2,68.0,5.75,4.52,3.04,2714
0.2,62.3,57.0,3.76,3.78,2.35,800
0.72,62.4,57.0,5.72,5.74,3.58,4877
0.25,59.6,62.0,4.09,4.11,2.44,450
1.5,65.6,62.0,6.5,6.38,4.19,12809
0.26,62.7,57.0,4.09,4.11,2.57,944
1.5,63.9,62.0,8.43,6.33,4.04,9162
